soc,function,vendor_size,candidate_size,delta,direct_calls_exact,vendor_calls,candidate_direct_calls
an7583,Enable_ClkTxRxLatchEn,212,204,-8,False,vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign,
an7583,FreqByMPLLRG,32,28,-4,True,,
an7583,Global_Option_Init,18,20,2,True,vSetRankNumber;vInitGlobalVariablesByCondition,vSetRankNumber;vInitGlobalVariablesByCondition
an7583,MPLLInit,256,132,-124,True,udelay;printf,udelay;printf
an7583,MPLLInit_SSC,136,140,4,True,printf;MPLLRGByFreq;udelay;printf,printf;MPLLRGByFreq;udelay;printf
an7583,S0_DCMOffWA,20,20,0,True,vPhyByteIO32WriteMsk_All,vPhyByteIO32WriteMsk_All
an7583,SA_InitialSettings1,120,120,0,False,DramcBroadcastOnOff;is_ddr4_family;PC4_UpdateInitialSettings;vResetDelayChainBeforeCalibration;DramcBroadcastOnOff;memset;memset;vSetRank;APHY_RG_Setting_Before_K;GetVcoreDelayCellTime;Dramc8PhaseCal;is_ddr3_family;PC3_UpdateInitialSettings;DramcInit_DutyCalibration,DramcBroadcastOnOff;is_ddr4_family;PC4_UpdateInitialSettings;is_ddr3_family;PC3_UpdateInitialSettings;vResetDelayChainBeforeCalibration;DramcBroadcastOnOff;memset;memset;vSetRank;APHY_RG_Setting_Before_K;GetVcoreDelayCellTime;Dramc8PhaseCal;DramcInit_DutyCalibration
an7583,SA_InitialSettings2,38,40,2,True,DramcBroadcastOnOff;DdrUpdateACTiming;memset;vBeforeCalibration,DramcBroadcastOnOff;DdrUpdateACTiming;memset;vBeforeCalibration
an7583,SetCKE2RankIndependent,6,6,0,True,vCKERankCtrl,vCKERankCtrl
an7583,SetMck8xLowPwrOption,20,20,0,True,vPhyByteIO32WriteMsk,vPhyByteIO32WriteMsk
